Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
1/03/2023;0:00:00;1/04/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;30,132;kWh;Onvolledig;Hoofdverblijf
1/03/2023;0:00:00;1/04/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Onvolledig;Hoofdverblijf
1/03/2023;0:00:00;1/04/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;21,626;kWh;Onvolledig;Hoofdverblijf
1/03/2023;0:00:00;1/04/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Onvolledig;Hoofdverblijf
1/04/2023;0:00:00;1/05/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;83,477;kWh;Uitgelezen;Hoofdverblijf
1/04/2023;0:00:00;1/05/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/04/2023;0:00:00;1/05/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;62,048;kWh;Uitgelezen;Hoofdverblijf
1/04/2023;0:00:00;1/05/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/05/2023;0:00:00;1/06/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;77,014;kWh;Uitgelezen;Hoofdverblijf
1/05/2023;0:00:00;1/06/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/05/2023;0:00:00;1/06/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;63,235;kWh;Uitgelezen;Hoofdverblijf
1/05/2023;0:00:00;1/06/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/06/2023;0:00:00;1/07/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;65,867;kWh;Uitgelezen;Hoofdverblijf
1/06/2023;0:00:00;1/07/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/06/2023;0:00:00;1/07/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;60,087;kWh;Uitgelezen;Hoofdverblijf
