Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Calorische bovenwaarde;Omschrijving
1/03/2023;0:00:00;1/04/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;28,611;m³;Onvolledig;;Hoofdverblijf
1/03/2023;0:00:00;1/04/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;291,41;kWh;Onvolledig;;Hoofdverblijf
1/04/2023;0:00:00;1/05/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;67,786;m³;Uitgelezen;;Hoofdverblijf
1/04/2023;0:00:00;1/05/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;689,189;kWh;Uitgelezen;;Hoofdverblijf
1/05/2023;0:00:00;1/06/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;14,598;m³;Uitgelezen;;Hoofdverblijf
1/05/2023;0:00:00;1/06/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;148,576;kWh;Uitgelezen;;Hoofdverblijf
1/06/2023;0:00:00;1/07/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;9,702;m³;Uitgelezen;;Hoofdverblijf
1/06/2023;0:00:00;1/07/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;98,676;kWh;Uitgelezen;;Hoofdverblijf
1/07/2023;0:00:00;1/08/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;8,16;m³;Uitgelezen;;Hoofdverblijf
1/07/2023;0:00:00;1/08/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;82,999;kWh;Uitgelezen;;Hoofdverblijf
1/08/2023;0:00:00;1/09/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;5,975;m³;Uitgelezen;;Hoofdverblijf
1/08/2023;0:00:00;1/09/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;60,864;kWh;Uitgelezen;;Hoofdverblijf
1/09/2023;0:00:00;1/10/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;9,566;m³;Uitgelezen;;Hoofdverblijf
1/09/2023;0:00:00;1/10/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;97,334;kWh;Uitgelezen;;Hoofdverblijf
1/10/2023;0:00:00;1/11/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;31,72;m³;Uitgelezen;;Hoofdverblijf
1/10/2023;0:00:00;1/11/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;323,059;kWh;Uitgelezen;;Hoofdverblijf
1/11/2023;0:00:00;1/12/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;108,34;m³;Uitgelezen;;Hoofdverblijf
1/11/2023;0:00:00;1/12/2023;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;1099,534;kWh;Uitgelezen;;Hoofdverblijf
1/12/2023;0:00:00;1/01/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;129,665;m³;Uitgelezen;;Hoofdverblijf
1/12/2023;0:00:00;1/01/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;1321,221;kWh;Uitgelezen;;Hoofdverblijf
1/01/2024;0:00:00;1/02/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;193,359;m³;Uitgelezen;;Hoofdverblijf
1/01/2024;0:00:00;1/02/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;1974,365;kWh;Uitgelezen;;Hoofdverblijf
1/02/2024;0:00:00;1/03/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;116,541;m³;Uitgelezen;;Hoofdverblijf
1/02/2024;0:00:00;1/03/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;1189,432;kWh;Uitgelezen;;Hoofdverblijf
1/03/2024;0:00:00;1/04/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;97,599;m³;Uitgelezen;;Hoofdverblijf
1/03/2024;0:00:00;1/04/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;996,551;kWh;Uitgelezen;;Hoofdverblijf
1/04/2024;0:00:00;1/05/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;57,779;m³;Uitgelezen;;Hoofdverblijf
1/04/2024;0:00:00;1/05/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;589,784;kWh;Uitgelezen;;Hoofdverblijf
1/05/2024;0:00:00;1/06/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;15,58;m³;Uitgelezen;;Hoofdverblijf
1/05/2024;0:00:00;1/06/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;159,078;kWh;Uitgelezen;;Hoofdverblijf
1/06/2024;0:00:00;1/07/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;8,542;m³;Uitgelezen;;Hoofdverblijf
1/06/2024;0:00:00;1/07/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;87,316;kWh;Uitgelezen;;Hoofdverblijf
1/07/2024;0:00:00;1/08/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;9,578;m³;Uitgelezen;;Hoofdverblijf
1/07/2024;0:00:00;1/08/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;98,38;kWh;Uitgelezen;;Hoofdverblijf
1/08/2024;0:00:00;1/09/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;9,783;m³;Uitgelezen;;Hoofdverblijf
1/08/2024;0:00:00;1/09/2024;0:00:00;541448820045601444;7FLO2122191178;Digitale meter;Afname;100,57;kWh;Uitgelezen;;Hoofdverblijf
