Month;Volume;Eenheid
1/04/2023;67,786;m³
1/04/2023;689,189;kWh
1/05/2023;14,598;m³
1/05/2023;148,576;kWh
1/06/2023;9,702;m³
1/06/2023;98,676;kWh
1/07/2023;8,16;m³
1/07/2023;82,999;kWh
1/08/2023;5,975;m³
1/08/2023;60,864;kWh
1/09/2023;9,566;m³
1/09/2023;97,334;kWh
1/10/2023;31,72;m³
1/10/2023;323,059;kWh
1/11/2023;108,34;m³
1/11/2023;1099,534;kWh
1/12/2023;129,665;m³
1/12/2023;1321,221;kWh
1/01/2024;193,359;m³
1/01/2024;1974,365;kWh
1/02/2024;116,541;m³
1/02/2024;1189,432;kWh
1/03/2024;97,599;m³
1/03/2024;996,551;kWh
1/04/2024;57,779;m³
1/04/2024;589,784;kWh
1/05/2024;15,58;m³
1/05/2024;159,078;kWh
1/06/2024;8,542;m³
1/06/2024;87,316;kWh
1/07/2024;9,578;m³
1/07/2024;98,38;kWh
1/08/2024;9,783;m³
1/08/2024;100,57;kWh
1/09/2024;16,059;m³
1/09/2024;183,312;kWh
1/10/2024;47,184;m³
1/10/2024;537,422;kWh
